code,d0,d1,nav0,nav1,actual_ratio,excluded,res_bp_L0_FX_T,res_bp_L0_FX_T+1,res_bp_L1_FX_T,res_bp_L1_FX_T+1,res_bp_L0_NOFX
513100,2025-01-02,2025-01-03,1.513,1.539,1.01718440,,4.788,4.927,,,4.649
513100,2025-01-03,2025-01-06,1.539,1.555,1.01039636,,-5.114,-5.809,-61.840,-62.531,-5.392
513100,2025-01-06,2025-01-07,1.555,1.528,0.98263666,,5.304,4.608,-280.391,-281.067,5.722
513100,2025-01-07,2025-01-08,1.528,1.528,1.00000000,,-4.852,-3.600,181.391,182.666,-3.739
513100,2025-01-08,2025-01-09,1.528,1.528,1.00000000,,0.139,-0.695,0.139,-0.695,0.000
513100,2025-01-09,2025-01-10,1.528,1.504,0.98429319,,-0.362,1.168,-161.433,-159.927,0.333
513100,2025-01-10,2025-01-13,1.504,1.5,0.99734043,,4.402,4.541,133.738,133.879,3.567
513100,2025-01-13,2025-01-14,1.5,1.498,0.99866667,,0.780,-0.890,17.845,16.173,-0.194
513100,2025-01-14,2025-01-15,1.498,1.532,1.02269693,,-5.079,-4.106,239.712,240.710,-4.384
513100,2025-01-15,2025-01-16,1.532,1.521,0.99281984,,-2.515,-3.906,-296.126,-297.476,-2.793
513100,2025-01-16,2025-01-17,1.521,1.547,1.01709402,,3.846,5.377,240.496,242.063,4.960
513100,2025-01-17,2025-01-20,1.547,1.547,1.00000000,,0.417,25.522,0.417,25.522,0.000
513100,2025-01-20,2025-01-21,1.547,1.552,1.00323206,,-0.539,-25.021,-106.211,-130.434,-25.994
513100,2025-01-21,2025-01-22,1.552,1.572,1.01288660,,-2.946,-5.595,70.973,68.305,-3.922
513100,2025-01-22,2025-01-23,1.572,1.576,1.00254453,,1.831,3.923,-107.643,-105.573,3.505
513100,2025-01-23,2025-01-24,1.576,1.567,0.99428934,,1.269,1.827,-78.451,-77.898,0.850
513100,2025-01-24,2025-01-27,1.567,1.52,0.97000638,,-2.030,-2.309,-242.442,-242.714,-3.006
513100,2025-01-27,2025-02-05,1.52,1.558,1.02500000,,-0.548,-0.967,349.144,348.711,-1.246
513100,2025-02-05,2025-02-06,1.558,1.566,1.00513479,,-1.880,-3.274,9.283,7.887,-2.159
513100,2025-02-06,2025-02-07,1.566,1.546,0.98722861,,1.059,1.059,-181.363,-181.363,2.175
513100,2025-02-07,2025-02-10,1.546,1.565,1.01228978,,-1.712,-1.851,254.940,254.797,-0.596
513100,2025-02-10,2025-02-11,1.565,1.561,0.99744409,,2.249,4.341,-148.478,-146.417,3.504
513100,2025-02-11,2025-02-12,1.561,1.562,1.00064061,,-4.616,-6.707,36.402,34.303,-5.453
513100,2025-02-12,2025-02-13,1.562,1.585,1.01472471,,2.539,5.608,133.950,137.059,3.795
513100,2025-02-13,2025-02-14,1.585,1.591,1.00378549,,1.549,0.294,-102.257,-103.499,-0.264
513100,2025-02-14,2025-02-17,1.591,1.59,0.99937146,,-5.728,-5.588,-5.728,-5.588,-6.285
513100,2025-02-17,2025-02-18,1.59,1.594,1.00251572,,3.276,1.462,-12.217,-14.027,2.578
513100,2025-02-18,2025-02-19,1.594,1.595,1.00062735,,0.199,0.338,-17.377,-17.238,1.315
513100,2025-02-19,2025-02-20,1.595,1.587,0.99498433,,-2.646,0.561,-56.059,-52.868,-1.670
513100,2025-02-20,2025-02-21,1.587,1.554,0.97920605,,-0.037,-5.196,-158.026,-163.103,-2.268
513100,2025-02-21,2025-02-24,1.554,1.536,0.98841699,,2.523,4.198,88.821,90.510,5.453
513100,2025-02-24,2025-02-25,1.536,1.517,0.98763021,,-0.918,-0.500,-3.766,-3.347,0.336
513100,2025-02-25,2025-02-26,1.517,1.521,1.00263678,,3.863,3.584,151.438,151.155,4.700
513100,2025-02-26,2025-02-27,1.521,1.479,0.97238659,,-1.885,-0.491,-298.230,-296.878,-0.770
513100,2025-02-27,2025-02-28,1.479,1.503,1.01622718,,0.290,-0.964,450.342,449.031,0.011
513100,2025-02-28,2025-03-03,1.503,1.47,0.97804391,,-0.834,0.978,-376.664,-374.920,0.142
513100,2025-03-03,2025-03-04,1.47,1.465,0.99659864,,2.593,5.243,190.710,193.410,1.757
513100,2025-03-04,2025-03-05,1.465,1.484,1.01296928,,-2.320,-2.737,169.595,169.170,-5.804
513100,2025-03-05,2025-03-06,1.484,1.442,0.97169811,,-0.919,-5.799,-410.053,-414.733,-3.987
513100,2025-03-06,2025-03-07,1.442,1.453,1.00762829,,0.279,-1.812,363.754,361.587,2.093
513100,2025-03-07,2025-03-10,1.453,1.399,0.96283551,,6.204,8.995,-446.268,-443.603,10.111
513100,2025-03-10,2025-03-11,1.399,1.395,0.99714081,,-1.924,5.467,365.610,373.272,-0.809
513100,2025-03-11,2025-03-12,1.395,1.41,1.01075269,,0.810,-9.922,142.051,131.168,-5.463
513100,2025-03-12,2025-03-13,1.41,1.384,0.98156028,,0.319,3.388,-298.454,-295.477,4.783
513100,2025-03-13,2025-03-14,1.384,1.418,1.02456647,,-4.874,3.492,441.678,450.417,-3.480
513100,2025-03-14,2025-03-17,1.418,1.425,1.00493653,,1.758,-11.483,-188.168,-201.157,-5.213
513100,2025-03-17,2025-03-18,1.425,1.402,0.98385965,,-1.604,9.696,-220.975,-209.924,4.672
513100,2025-03-18,2025-03-19,1.402,1.42,1.01283880,,3.421,-9.542,304.527,291.174,-1.600
513100,2025-03-19,2025-03-20,1.42,1.417,0.99788732,,0.868,7.982,-157.021,-150.019,8.819
513100,2025-03-20,2025-03-21,1.417,1.422,1.00352858,,-4.342,-6.291,64.559,62.596,-3.506
513100,2025-03-21,2025-03-24,1.422,1.453,1.02180028,,-0.719,0.953,175.669,177.370,2.067
513100,2025-03-24,2025-03-25,1.453,1.461,1.00550585,,0.719,6.573,-158.530,-152.770,1.834
513100,2025-03-25,2025-03-26,1.461,1.434,0.98151951,,2.684,-3.307,-232.134,-237.984,-2.053
513100,2025-03-26,2025-03-27,1.434,1.425,0.99372385,,-4.603,-1.817,120.993,123.815,-3.350
513100,2025-03-27,2025-03-28,1.425,1.388,0.97403509,,3.167,-2.546,-199.912,-205.510,1.634
513100,2025-03-28,2025-03-31,1.388,1.388,1.00000000,,-2.650,2.506,263.957,269.250,1.530
513100,2025-03-31,2025-04-01,1.388,1.399,1.00792507,,-1.694,-5.175,81.776,78.266,-2.669
513100,2025-04-01,2025-04-02,1.399,1.41,1.00786276,,1.303,-9.547,-5.793,-16.636,3.812
513100,2025-04-02,2025-04-03,1.41,1.336,0.94751773,,4.226,4.939,-607.718,-607.049,17.603
513100,2025-04-03,2025-04-07,1.336,1.259,0.94236527,,0.719,5.316,593.280,598.150,13.378
513100,2025-04-07,2025-04-08,1.259,1.235,0.98093725,,-3.372,0.796,-217.076,-212.997,4.683
513100,2025-04-08,2025-04-09,1.235,1.383,1.11983806,,-7.321,-7.042,1416.909,1417.228,-3.437
513100,2025-04-09,2025-04-10,1.383,1.326,0.95878525,,3.168,7.471,-1444.209,-1440.528,6.777
513100,2025-04-10,2025-04-11,1.326,1.351,1.01885370,,0.353,-3.530,634.445,630.315,-0.340
513100,2025-04-11,2025-04-14,1.351,1.359,1.00592154,,-0.688,4.445,-130.413,-125.347,2.503
513100,2025-04-14,2025-04-15,1.359,1.361,1.00147167,,-1.536,-8.605,-39.811,-46.853,-3.478
513100,2025-04-15,2025-04-16,1.361,1.32,0.96987509,,-2.211,9.581,-323.835,-312.423,2.920
513100,2025-04-16,2025-04-17,1.32,1.32,1.00000000,,6.412,1.974,320.484,315.906,-0.246
513100,2025-04-17,2025-04-18,1.32,1.319,0.99924242,,-5.357,-5.634,-5.357,-5.634,-7.576
513100,2025-04-18,2025-04-21,1.319,1.287,0.97573920,,5.781,1.200,-240.953,-245.421,3.838
513100,2025-04-21,2025-04-22,1.287,1.321,1.02641803,,-1.351,-4.539,520.652,517.297,1.286
513100,2025-04-22,2025-04-23,1.321,1.351,1.02271007,,-6.782,1.538,-40.648,-32.356,-0.958
513100,2025-04-23,2025-04-24,1.351,1.388,1.02738712,,-2.285,-0.342,47.277,49.229,-4.780
513100,2025-04-24,2025-04-25,1.388,1.404,1.01152738,,6.156,4.908,-154.707,-155.935,1.714
513100,2025-04-25,2025-04-28,1.404,1.403,0.99928775,,-1.221,-2.469,-116.153,-117.387,-4.412
513100,2025-04-28,2025-04-29,1.403,1.411,1.00570207,,-1.579,-1.440,61.704,61.844,-3.522
513100,2025-04-29,2025-04-30,1.411,1.412,1.00070872,,-4.161,-5.410,-51.083,-52.326,-6.243
513100,2025-04-30,2025-05-06,1.412,1.428,1.01133144,,1.565,1.148,-100.096,-100.508,0.732
513100,2025-05-06,2025-05-07,1.428,1.433,1.00350140,,-3.274,-13.122,124.979,115.005,-3.691
513100,2025-05-07,2025-05-08,1.433,1.449,1.01116539,,3.628,10.020,63.150,69.580,13.075
513100,2025-05-08,2025-05-09,1.449,1.449,1.00000000,,-1.995,5.081,-100.512,-93.505,1.057
513100,2025-05-09,2025-05-12,1.449,1.507,1.04002761,,2.256,8.649,405.561,412.211,-1.767
513100,2025-05-12,2025-05-13,1.507,1.529,1.01459854,,-1.343,-6.891,-236.066,-241.484,-11.749
513100,2025-05-13,2025-05-14,1.529,1.537,1.00523218,,-0.110,-5.944,-99.143,-104.919,-4.972
513100,2025-05-14,2025-05-15,1.537,1.538,1.00065062,,-2.257,2.191,-51.494,-47.069,-1.284
513100,2025-05-15,2025-05-16,1.538,1.545,1.00455137,,5.803,5.387,41.182,40.764,2.327
513100,2025-05-16,2025-05-19,1.545,1.546,1.00064725,,0.615,-4.528,-33.498,-38.624,-2.444
513100,2025-05-19,2025-05-20,1.546,1.54,0.99611902,,-3.749,-2.498,-49.761,-48.516,-1.664
513100,2025-05-20,2025-05-21,1.54,1.52,0.98701299,,3.678,9.243,-93.890,-88.379,4.512
513100,2025-05-21,2025-05-22,1.52,1.521,1.00065789,,-3.916,-10.863,147.615,140.562,-8.640
513100,2025-05-22,2025-05-23,1.521,1.507,0.99079553,,-1.034,13.165,-109.315,-95.270,1.191
513100,2025-05-23,2025-05-26,1.507,1.506,0.99933643,,5.329,-12.614,5.329,-12.614,-6.636
513100,2025-05-26,2025-05-27,1.506,1.542,1.02390438,,-5.686,-2.207,329.212,332.807,0.297
513100,2025-05-27,2025-05-28,1.542,1.536,0.99610895,,3.824,4.520,-273.612,-272.935,6.329
513100,2025-05-28,2025-05-29,1.536,1.539,1.00195312,,-3.747,6.271,63.217,73.302,-1.939
513100,2025-05-29,2025-05-30,1.539,1.536,0.99805068,,-0.551,-11.675,-32.702,-43.790,-8.756
513100,2025-05-30,2025-06-03,1.536,1.56,1.01562500,,2.553,3.110,92.906,93.469,5.476
513100,2025-06-03,2025-06-04,1.56,1.564,1.00256410,,-4.111,1.175,-55.773,-50.514,-1.747
513100,2025-06-04,2025-06-05,1.564,1.551,0.99168798,,0.108,-0.031,-107.321,-107.458,-2.814
513100,2025-06-05,2025-06-06,1.551,1.566,1.00967118,,0.039,-4.135,181.308,177.058,-2.744
513100,2025-06-06,2025-06-09,1.566,1.569,1.00191571,,1.181,4.662,-80.915,-77.463,2.573
513100,2025-06-09,2025-06-10,1.569,1.579,1.00637349,,-0.247,1.146,49.175,50.575,-2.334
513100,2025-06-10,2025-06-11,1.579,1.573,0.99620013,,2.449,0.639,-99.955,-101.746,-1.032
513100,2025-06-11,2025-06-12,1.573,1.576,1.00190718,,-3.271,-0.624,57.931,60.594,-4.941
513100,2025-06-12,2025-06-13,1.576,1.555,0.98667513,,-0.173,-6.857,-152.645,-159.227,-4.490
513100,2025-06-13,2025-06-16,1.555,1.578,1.01479100,,3.745,12.112,277.903,286.499,6.115
513100,2025-06-16,2025-06-17,1.578,1.561,0.98922687,,-2.228,-10.305,-240.108,-247.993,-8.217
513100,2025-06-17,2025-06-18,1.561,1.561,1.00000000,,-2.371,4.180,98.487,105.104,-0.281
513100,2025-06-18,2025-06-19,1.561,1.561,1.00000000,,4.461,4.742,4.461,4.742,0.000
513100,2025-06-19,2025-06-20,1.561,1.553,0.99487508,,-3.590,-10.419,-46.811,-53.610,-8.329
513100,2025-06-20,2025-06-23,1.553,1.57,1.01094656,,1.016,10.647,150.956,160.731,3.109
513100,2025-06-23,2025-06-24,1.57,1.593,1.01464968,,1.221,-7.983,47.316,38.069,-6.310
513100,2025-06-24,2025-06-25,1.593,1.596,1.00188324,,-4.116,4.259,-133.704,-125.438,-2.442
513100,2025-06-25,2025-06-26,1.596,1.61,1.00877193,,0.246,-7.428,73.045,65.315,-6.452
513100,2025-06-26,2025-06-27,1.61,1.617,1.00434783,,3.765,10.473,-51.252,-44.581,4.743
513100,2025-06-27,2025-06-30,1.617,1.626,1.00556586,,-2.826,-1.286,22.613,24.157,-8.549
513100,2025-06-30,2025-07-01,1.626,1.611,0.99077491,,3.554,-5.390,-148.358,-157.165,-3.713
513100,2025-07-01,2025-07-02,1.611,1.623,1.00744879,,-0.050,4.844,162.811,167.785,1.627
